f	ht cut	mt cut	ht flat	mt flat	ht boost	mt boost	ht cut	mt cut	ht flat	mt flat	ht boost	mt boost	ht cut mit 2445
20	0.180	0.388	0.208	0.464	0.22	0.52	0.118	0.284	0.132	0.324	0.13	0.36	
30	0.560	1.340	0.776	1.88	1.08	2.56	0.36	0.952	0.678	1.31	0.552	1.8	
40	0.976	2.300	1.48	3.58	2.66	6.56	0.612	1.68	0.92	2.56	1.56	4.6	
50	1.260	3.020	1.98	4.84	3.8	9.44	0.8	2.16	1.26	3.48	2.42	6.84	
60	1.470	3.520	2.24	5.4	3.64	9.04	0.94	2.54	1.43	3.96	2.38	6.76	
70	1.640	3.880	2.32	5.6	3.28	8.08	1.03	2.8	1.5	4.12	2.16	6.04	
80	1.720	4.120	2.32	5.6	2.96	7.36	1.1	2.96	1.54	4.12	1.96	5.48	
90	1.760	4.200	2.28	5.48	2.76	6.72	1.14	3.06	1.52	4.08	1.84	5.08	
100	1.800	4.280	2.2	5.36	2.56	6.24	1.17	3.12	1.5	4	1.7	4.72	
110	1.800	4.280	2.16	5.16	2.4	5.92	1.18	3.12	1.44	3.88	1.62	4.44	
120	1.760	4.200	2.08	5	2.28	5.6	1.17	3.12	1.4	3.72	1.54	4.2	
130	1.760	4.120	2	4.76	2.08	5.28	1.15	3.04	1.36	3.6	1.46	3.96	
140	1.720	4.040	1.92	4.6	2	4.96	1.14	2.96	1.32	3.44	1.38	3.72	
150	1.680	3.960	1.86	4.44	1.88	4.64	1.12	2.88	1.26	3.32	1.34	3.52	
160	1.640	3.800	1.8	4.2	1.8	4.48	1.09	2.8	1.22	3.16	1.26	3.36	
170	1.58	3.68	1.72	4.04	1.72	4.16	1.06	2.72	1.2	3	1.22	3.2	
180	1.560	3.560	1.66	3.88	1.62	3.96	1.05	2.64	1.16	2.92	1.18	3.04	
190	1.520	3.480	1.6	3.76	1.58	3.84	1.03	2.56	1.12	2.8	1.14	2.92	
200	1.480	3.400	1.56	3.6	1.54	3.68	1.02	2.5	1.1	2.72	1.12	2.84	0.8
300	1.680	3.560	1.72	3.68	1.62	3.68	1.17	2.64	1.22	2.76	1.2	2.84	0.9
400	1.960	4.000	2	4.08	1.9	4	1.43	2.96	1.46	3.08	1.42	3.12	1.08
500	2.160	4.100	2.2	4.12	2.06	4.04	1.64	3.08	1.62	3.16	1.58	3.16	1.15
600	2.280	3.960	2.3	4	2.18	3.88	1.76	2.96	1.76	3.04	1.7	3.08	1.14
700	2.360	3.720	2.36	3.76	2.22	3.64	1.84	2.8	1.82	2.88	1.78	2.88	1.12
800	2.400	3.480	2.4	3.48	2.26	3.36	1.92	2.6	1.9	2.68	1.86	2.68	1.05
900	2.420	3.160	2.44	3.2	2.3	3.04	1.98	2.4	1.96	2.48	1.9	2.6	1
1000	2.440	2.920	2.46	2.92	2.3	2.8	2.02	2.2	2	2.28	2.02	2.4	0.92
1100	2.460	2.680	2.48	2.68	2.34	2.56	2.06	2	2.02	2.08	2.06	2.2	
1200	2.460	2.440	2.48	2.44	2.3	2.26	2.08	1.84	2.04	1.88	2.08	2	
1300	2.540	2.320	2.54	2.36	2.3	2.06	2.1	1.68	2.14	1.84	2.1	1.84	
1400	2.540	2.200	2.54	2.16	2.28	1.9	2.1	1.54	2.16	1.72	2.1	1.72	
1500	2.540	2.000	2.54	1.96	2.3	1.72	2.1	1.42	2.12	1.56	2.1	1.56	
1600	2.500	1.760	2.52	1.84	2.3	1.58	2.16	1.38	2.12	1.44	2.1	1.44	
1700	2.460	1.620	2.5	1.68	2.28	1.46	2.16	1.26	2.12	1.36	2.06	1.36	
1800	2.440	1.500	2.46	1.5	2.24	1.34	2.14	1.16	2.08	1.24	2.04	1.24	
1900	2.420	1.380	2.44	1.38	2.24	1.22	2.14	1.06	2.08	1.18	2.02	1.16	
2000	2.380	1.250	2.4	1.25	2.2	1.14	2.1	0.976	2.06	1.12	2	1	
3000	2.020	0.648	2.02	0.648	1.86	0.62	1.8	0.52	1.76	0.64	1.7	0.512	
4000	1.960	0.380	1.98	0.38	1.82	0.38	1.78	0.312	1.72	0.308	1.68	0.312	
5000	2.260	0.230	2.26	0.236	2.08	0.194	2.02	0.2	1.96	0.192	1.92	0.182	
6000	2.600	0.148			2.38	0.11	2.32	0.128	2.26	0.124	2.22	0.116	
7000	3.000	0.080			2.74	0.06	2.64	0.088	2.58	0.063	2.56	0.056	
8000	3.600	0.054			3.3	0.04	3.12	0.064	3.04	0.044	3.02	0.036	
9000	4.800	0.030			4.4	0.04	3.98	0.04	3.66	0.036	3.7	0.04	
10000	6.840	0.050			5.92	0.08	5.64	0.045	5.52	0.04	5.36	0.042	
11000	7.720	0.080			7	0.1	7.04	0.065	6.96	0.052	6.96	0.06	
12000	6.000	0.090			5.44	0.09	5.92	0.056	5.6	0.05	5.8	0.06	
13000	4.680	0.075			4.24	0.08	4.52	0.043	4.24	0.033	4.4	0.044	
14000	3.920	0.070			3.6	0.08	3.72	0.03	3.6	0.033	3.64	0.03	
15000	3.520	0.057			3.2	0.07	3.28	0.026	3.12	0.028	3.2	0.024	
16000	3.200	0.060			2.92	0.06	2.92	0.025	2.84	0.023	2.92	0.024	
17000	3.040	0.054			2.66	0.06	2.74	0.025	2.56	0.022	2.72	0.02	
18000	2.800	0.050			2.54	0.05	2.5	0.024	2.36	0.024	2.48	0.023	
19000	2.600	0.050			2.34	0.05	2.08	0.025	2.28	0.024	2.36	0.024	
20000	2.260	0.040			2.04	0.05	2.08	0.021	1.98	0.032	2.04	0.019	
